Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1998-11-13,8919.59,8919.59,8919.59,8919.59,0,0,0
1998-11-16,9011.24,9011.24,9011.24,9011.24,0,0,0
1998-11-17,8986.29,8986.29,8986.29,8986.29,0,0,0
1998-11-20,9159.54,9159.54,9159.54,9159.54,0,0,0
1998-11-27,9333.07,9333.07,9333.07,9333.07,0,0,0
1998-12-07,9070.46,9070.46,9070.46,9070.46,0,0,0
1998-12-09,9009.18,9009.18,9009.18,9009.18,0,0,0
1998-12-14,8695.59,8695.59,8695.59,8695.59,0,0,0
1998-12-15,8823.29,8823.29,8823.29,8823.29,0,0,0
1998-12-18,8903.62,8903.62,8903.62,8903.62,0,0,0
1998-12-29,9320.97,9320.97,9320.97,9320.97,0,0,0
1999-01-04,9184.26,9184.26,9184.26,9184.26,0,0,0
1999-01-08,9643.32,9643.32,9643.32,9643.32,0,0,0
1999-01-20,9335.92,9335.92,9335.92,9335.92,0,0,0
1999-01-21,9264.07,9264.07,9264.07,9264.07,0,0,0
1999-01-22,9120.67,9120.67,9120.67,9120.67,0,0,0
1999-01-25,9203.31,9203.31,9203.31,9203.31,0,0,0
1999-01-29,9358.82,9358.82,9358.82,9358.82,0,0,0
1999-02-01,9345.69,9345.69,9345.69,9345.69,0,0,0
1999-02-03,9366.82,9366.82,9366.82,9366.82,0,0,0
1999-02-10,9177.31,9177.31,9177.31,9177.31,0,0,0
1999-02-11,9363.45,9363.45,9363.45,9363.45,0,0,0
1999-02-16,9297.03,9297.03,9297.03,9297.03,0,0,0
1999-02-22,9552.67,9552.67,9552.67,9552.67,0,0,0
1999-02-23,9544.41,9544.41,9544.41,9544.41,0,0,0
1999-02-24,9399.66,9399.66,9399.66,9399.66,0,0,0
1999-02-26,9306.57,9306.57,9306.57,9306.57,0,0,0
1999-03-05,9736.07,9736.07,9736.07,9736.07,0,0,0
1999-03-09,9693.75,9693.75,9693.75,9693.75,0,0,0
1999-03-15,9958.77,9958.77,9958.77,9958.77,0,0,0
1999-03-17,9879.4,9879.4,9879.4,9879.4,0,0,0
1999-03-22,9890.5,9890.5,9890.5,9890.5,0,0,0
1999-03-23,9671.83,9671.83,9671.83,9671.83,0,0,0
1999-04-01,9832.5,9832.5,9832.5,9832.5,0,0,0
1999-04-09,10173.8,10173.8,10173.8,10173.8,0,0,0
1999-05-03,11014.7,11014.7,11014.7,11014.7,0,0,0
1999-05-04,10886.1,10886.1,10886.1,10886.1,0,0,0
1999-05-05,10955.4,10955.4,10955.4,10955.4,0,0,0
1999-05-10,11007.2,11007.2,11007.2,11007.2,0,0,0
